Time resolution is 1 ps
TIME = 715000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 725000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 735000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 745000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 755000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 765000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 01
TIME = 775000 | START = 0 | IDX_PRIME = 02 | FINISH = 0 | ENA/ENB = 01
TIME = 785000 | START = 0 | IDX_PRIME = 04 | FINISH = 0 | ENA/ENB = 01
TIME = 795000 | START = 0 | IDX_PRIME = 09 | FINISH = 0 | ENA/ENB = 01
TIME = 805000 | START = 0 | IDX_PRIME = 12 | FINISH = 0 | ENA/ENB = 01
TIME = 815000 | START = 0 | IDX_PRIME = 24 | FINISH = 0 | ENA/ENB = 01
TIME = 825000 | START = 0 | IDX_PRIME = 09 | FINISH = 0 | ENA/ENB = 01
TIME = 835000 | START = 0 | IDX_PRIME = 13 | FINISH = 0 | ENA/ENB = 01
TIME = 845000 | START = 0 | IDX_PRIME = 27 | FINISH = 0 | ENA/ENB = 01
TIME = 855000 | START = 0 | IDX_PRIME = 0e | FINISH = 0 | ENA/ENB = 01
TIME = 865000 | START = 0 | IDX_PRIME = 1c | FINISH = 0 | ENA/ENB = 01
TIME = 875000 | START = 0 | IDX_PRIME = 32 | FINISH = 0 | ENA/ENB = 01
TIME = 885000 | START = 0 | IDX_PRIME = 31 | FINISH = 0 | ENA/ENB = 01
TIME = 895000 | START = 0 | IDX_PRIME = 22 | FINISH = 0 | ENA/ENB = 01
TIME = 905000 | START = 0 | IDX_PRIME = 05 | FINISH = 0 | ENA/ENB = 01
TIME = 915000 | START = 0 | IDX_PRIME = 0b | FINISH = 0 | ENA/ENB = 01
TIME = 925000 | START = 0 | IDX_PRIME = 17 | FINISH = 0 | ENA/ENB = 01
TIME = 935000 | START = 0 | IDX_PRIME = 2c | FINISH = 0 | ENA/ENB = 01
TIME = 945000 | START = 0 | IDX_PRIME = 1e | FINISH = 0 | ENA/ENB = 01
TIME = 955000 | START = 0 | IDX_PRIME = 2a | FINISH = 0 | ENA/ENB = 01
TIME = 965000 | START = 0 | IDX_PRIME = 29 | FINISH = 0 | ENA/ENB = 01
TIME = 975000 | START = 0 | IDX_PRIME = 0a | FINISH = 0 | ENA/ENB = 01
TIME = 985000 | START = 0 | IDX_PRIME = 25 | FINISH = 0 | ENA/ENB = 01
TIME = 995000 | START = 0 | IDX_PRIME = 0a | FINISH = 0 | ENA/ENB = 01
TIME = 1005000 | START = 0 | IDX_PRIME = 14 | FINISH = 0 | ENA/ENB = 01
TIME = 1015000 | START = 0 | IDX_PRIME = 04 | FINISH = 0 | ENA/ENB = 01
TIME = 1025000 | START = 0 | IDX_PRIME = 11 | FINISH = 0 | ENA/ENB = 01
TIME = 1035000 | START = 0 | IDX_PRIME = 01 | FINISH = 0 | ENA/ENB = 01
TIME = 1045000 | START = 0 | IDX_PRIME = 06 | FINISH = 0 | ENA/ENB = 01
TIME = 1055000 | START = 0 | IDX_PRIME = 0c | FINISH = 0 | ENA/ENB = 01
TIME = 1065000 | START = 0 | IDX_PRIME = 18 | FINISH = 0 | ENA/ENB = 01
TIME = 1075000 | START = 0 | IDX_PRIME = 12 | FINISH = 0 | ENA/ENB = 01
TIME = 1085000 | START = 0 | IDX_PRIME = 04 | FINISH = 0 | ENA/ENB = 01
TIME = 1095000 | START = 0 | IDX_PRIME = 02 | FINISH = 0 | ENA/ENB = 01
TIME = 1105000 | START = 0 | IDX_PRIME = 04 | FINISH = 0 | ENA/ENB = 01
TIME = 1115000 | START = 0 | IDX_PRIME = 08 | FINISH = 0 | ENA/ENB = 01
TIME = 1125000 | START = 0 | IDX_PRIME = 10 | FINISH = 0 | ENA/ENB = 01
TIME = 1135000 | START = 0 | IDX_PRIME = 08 | FINISH = 0 | ENA/ENB = 01
TIME = 1145000 | START = 0 | IDX_PRIME = 01 | FINISH = 0 | ENA/ENB = 01
TIME = 1155000 | START = 0 | IDX_PRIME = 03 | FINISH = 0 | ENA/ENB = 01
TIME = 1165000 | START = 0 | IDX_PRIME = 07 | FINISH = 0 | ENA/ENB = 01
TIME = 1175000 | START = 0 | IDX_PRIME = 0f | FINISH = 0 | ENA/ENB = 01
TIME = 1185000 | START = 0 | IDX_PRIME = 0c | FINISH = 0 | ENA/ENB = 01
TIME = 1195000 | START = 0 | IDX_PRIME = 2d | FINISH = 0 | ENA/ENB = 01
TIME = 1205000 | START = 0 | IDX_PRIME = 2d | FINISH = 0 | ENA/ENB = 01
TIME = 1215000 | START = 0 | IDX_PRIME = 2d | FINISH = 0 | ENA/ENB = 01
TIME = 1225000 | START = 0 | IDX_PRIME = 2b | FINISH = 0 | ENA/ENB = 01
TIME = 1235000 | START = 0 | IDX_PRIME = 27 | FINISH = 0 | ENA/ENB = 01
TIME = 1245000 | START = 0 | IDX_PRIME = 1d | FINISH = 0 | ENA/ENB = 01
TIME = 1255000 | START = 0 | IDX_PRIME = 09 | FINISH = 0 | ENA/ENB = 01
TIME = 1265000 | START = 0 | IDX_PRIME = 20 | FINISH = 0 | ENA/ENB = 01
TIME = 1275000 | START = 0 | IDX_PRIME = 0c | FINISH = 0 | ENA/ENB = 01
TIME = 1285000 | START = 0 | IDX_PRIME = 23 | FINISH = 0 | ENA/ENB = 01
TIME = 1295000 | START = 0 | IDX_PRIME = 11 | FINISH = 0 | ENA/ENB = 01
TIME = 1305000 | START = 0 | IDX_PRIME = 2c | FINISH = 0 | ENA/ENB = 01
TIME = 1315000 | START = 0 | IDX_PRIME = 20 | FINISH = 0 | ENA/ENB = 01
TIME = 1325000 | START = 0 | IDX_PRIME = 08 | FINISH = 0 | ENA/ENB = 01
TIME = 1335000 | START = 0 | IDX_PRIME = 17 | FINISH = 0 | ENA/ENB = 01
TIME = 1345000 | START = 0 | IDX_PRIME = 34 | FINISH = 0 | ENA/ENB = 01
TIME = 1355000 | START = 0 | IDX_PRIME = 2c | FINISH = 0 | ENA/ENB = 01
TIME = 1365000 | START = 0 | IDX_PRIME = 1c | FINISH = 0 | ENA/ENB = 01
TIME = 1375000 | START = 0 | IDX_PRIME = 3b | FINISH = 0 | ENA/ENB = 01
TIME = 1385000 | START = 0 | IDX_PRIME = 36 | FINISH = 0 | ENA/ENB = 01
TIME = 1395000 | START = 0 | IDX_PRIME = 2d | FINISH = 0 | ENA/ENB = 01
TIME = 1405000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1415000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1425000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1435000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1445000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1455000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1465000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1475000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1485000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1495000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1505000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1515000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1525000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1535000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1545000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1555000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1565000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1575000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1585000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1595000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1605000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1615000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1625000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1635000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1645000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1655000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1665000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1675000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1685000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1695000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1705000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1715000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1725000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1735000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1745000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1755000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 1765000 | START = 0 | IDX_PRIME = 01 | FINISH = 1 | ENA/ENB = 00
TIME = 1775000 | START = 0 | IDX_PRIME = 02 | FINISH = 1 | ENA/ENB = 00
TIME = 1785000 | START = 0 | IDX_PRIME = 03 | FINISH = 1 | ENA/ENB = 00
TIME = 1795000 | START = 0 | IDX_PRIME = 04 | FINISH = 1 | ENA/ENB = 00
TIME = 1805000 | START = 0 | IDX_PRIME = 05 | FINISH = 1 | ENA/ENB = 00
TIME = 1815000 | START = 0 | IDX_PRIME = 06 | FINISH = 1 | ENA/ENB = 00
TIME = 1825000 | START = 0 | IDX_PRIME = 07 | FINISH = 1 | ENA/ENB = 00
TIME = 1835000 | START = 0 | IDX_PRIME = 08 | FINISH = 1 | ENA/ENB = 00
TIME = 1845000 | START = 0 | IDX_PRIME = 09 | FINISH = 1 | ENA/ENB = 00
TIME = 1855000 | START = 0 | IDX_PRIME = 0a | FINISH = 1 | ENA/ENB = 00
TIME = 1865000 | START = 0 | IDX_PRIME = 0b | FINISH = 1 | ENA/ENB = 00
TIME = 1875000 | START = 0 | IDX_PRIME = 0c | FINISH = 1 | ENA/ENB = 00
TIME = 1885000 | START = 0 | IDX_PRIME = 0d | FINISH = 1 | ENA/ENB = 00
TIME = 1895000 | START = 0 | IDX_PRIME = 0e | FINISH = 1 | ENA/ENB = 00
TIME = 1905000 | START = 0 | IDX_PRIME = 0f | FINISH = 1 | ENA/ENB = 00
TIME = 1915000 | START = 0 | IDX_PRIME = 10 | FINISH = 1 | ENA/ENB = 00
TIME = 1925000 | START = 0 | IDX_PRIME = 11 | FINISH = 1 | ENA/ENB = 00
TIME = 1935000 | START = 0 | IDX_PRIME = 12 | FINISH = 1 | ENA/ENB = 00
TIME = 1945000 | START = 0 | IDX_PRIME = 13 | FINISH = 1 | ENA/ENB = 00
TIME = 1955000 | START = 0 | IDX_PRIME = 14 | FINISH = 1 | ENA/ENB = 00
TIME = 1965000 | START = 0 | IDX_PRIME = 15 | FINISH = 1 | ENA/ENB = 00
TIME = 1975000 | START = 0 | IDX_PRIME = 16 | FINISH = 1 | ENA/ENB = 00
TIME = 1985000 | START = 0 | IDX_PRIME = 17 | FINISH = 1 | ENA/ENB = 00
TIME = 1995000 | START = 0 | IDX_PRIME = 18 | FINISH = 1 | ENA/ENB = 00
TIME = 2005000 | START = 0 | IDX_PRIME = 19 | FINISH = 1 | ENA/ENB = 00
TIME = 2015000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2025000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2035000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2045000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2055000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2065000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2075000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2085000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2095000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2105000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2115000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2125000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
